data_time,name,addr,district,lng,lat,wkb_geometry,phone,acute_general_beds,acute_psychiatric_beds,chronic_general_beds,chronic_psychiatric_beds,palliative_beds,icu_beds,acute_respiratory_care_beds,chronic_respiratory_care_beds,burn_beds,emergency_observation_beds,other_observation_beds,surgical_recovery_beds,baby_beds,baby_sick_beds,hemodialysis_beds,peritoneal_dialysis_beds,psychiatric_icu_beds,burn_icu_beds,general_isolation_beds,positive_pressure_isolation_beds,negative_pressure_isolation_beds,bone_marrow_transplant_beds
2024-03-28 16:29:38+08:00,秀傳醫院,臺北市大安區光復南路116巷1、3、5號,大安區,121.5568623,25.04311217,POINT (121.5568623 25.04311217),(02)27717172,23,0,0,0,0,0,0,37,0,0,0,1,0,0,3,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區康定路37號、臺北市萬華區內江街87號及89號 ,萬華區,121.5025511,25.04222858,POINT (121.5025511 25.04222858),(02)23717101,31,0,0,0,0,0,0,0,0,0,0,2,0,0,60,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,西園醫療社團法人西園醫院,臺北市萬華區西園路二段266、268、270、272、276號、185、187、189號,萬華區,121.4945402,25.0277877,POINT (121.4945402 25.0277877),(02)23329888,115,0,0,0,0,8,0,0,0,9,0,3,3,0,18,1,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市萬華區廣州街200、243號,萬華區,121.5042335,25.03642709,POINT (121.5042335 25.03642709),(02)23021131,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,同仁院醫療財團法人萬華醫院,臺北市萬華區中華路二段606巷6號,萬華區,121.5098259,25.02405006,POINT (121.5098259 25.02405006),(02)23059292,0,0,79,0,0,0,0,30,0,0,0,0,0,0,28,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,臺北醫學大學附設醫院,臺北市信義區吳興街252號、250號,信義區,121.5636377,25.02663801,POINT (121.5636377 25.02663801),(02)27372181,500,25,0,0,10,59,6,0,0,27,0,18,10,12,63,0,0,0,0,0,8,0
2024-03-28 16:29:38+08:00,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號及士商路51號,士林區,121.5202887,25.0962409,POINT (121.5202887 25.0962409),(02)28332211,518,25,0,0,8,62,8,0,0,36,0,16,25,21,105,0,0,3,0,0,2,0
2024-03-28 16:29:38+08:00,三軍總醫院北投分院附設民眾診療服務處,臺北市北投區新民路60號、中和街250號,北投區,121.5097013,25.1398048,POINT (121.5097013 25.1398048),(02)28959808,0,335,0,217,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,臺北榮民總醫院,臺北市北投區石牌路二段201號、322號,北投區,121.5191658,25.11918228,POINT (121.5191658 25.11918228),(02)28712121,2404,98,0,0,16,225,16,0,14,57,0,57,22,25,90,0,0,6,78,40,15,12
2024-03-28 16:29:38+08:00,臺北市立關渡醫院─委託臺北榮民總醫院經營,臺北市北投區知行路二二五巷12號,北投區,121.4663577,25.12018758,POINT (121.4663577 25.12018758),(02)28587000,45,0,67,0,10,3,0,32,0,3,0,0,0,0,19,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,振興醫療財團法人振興醫院,臺北市北投區振興街45號,北投區,121.5224005,25.11754255,POINT (121.5224005 25.11754255),(02)28264400,777,54,0,0,8,78,12,0,0,17,0,5,15,12,46,0,0,0,0,1,3,0
2024-03-28 16:29:38+08:00,醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市北投區立德路125號,北投區,121.4720113,25.12834055,POINT (121.4720113 25.12834055),(02)28970011,252,0,0,0,10,16,0,0,0,6,0,8,0,0,1,0,0,0,0,2,2,6
2024-03-28 16:29:38+08:00,臺北市北投健康管理醫院,臺北市北投區中和街2號,北投區,121.5037059,25.13758475,POINT (121.5037059 25.13758475),(02)28988686,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號；臺北市中正區汀州路3段40號,內湖區,121.5919821,25.07180042,POINT (121.5919821 25.07180042),(02)87923311,1250,118,0,0,15,137,24,80,8,55,2,15,24,24,68,0,0,6,0,0,18,2
2024-03-28 16:29:38+08:00,康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,內湖區,121.6087792,25.07595162,POINT (121.6087792 25.07595162),(02)26345500,145,0,0,0,0,6,0,32,0,2,0,2,6,2,40,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號、362號,內湖區,121.5905997,25.08212491,POINT (121.5905997 25.08212491),(02)27919696,99,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,德威國際牙醫口腔醫院,臺北市內湖區內湖路一段659號1樓,內湖區,,,POINT EMPTY,(02)27990123,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024-03-28 16:29:38+08:00,臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市文山區興隆路三段111號,文山區,,,POINT EMPTY,(02)29307930,500,38,0,0,10,50,0,0,4,33,6,11,15,10,73,0,0,0,0,0,11,0
2024-03-28 16:29:38+08:00,景美醫院,臺北市文山區羅斯福路六段280號、文山區育英街2巷18號、文山區羅斯福路六段276巷1號1樓,文山區,121.5405334,24.99001925,POINT (121.5405334 24.99001925),(02)29331010,39,0,0,0,0,0,0,30,0,1,0,2,0,0,0,0,0,0,0,0,0,0
